Pacific/Niue|(UTC-11:00) GMT-11:00|GMT-11:00|-11:0:0
Pacific/Midway|(UTC-11:00) GMT-11:00|GMT-11:00|-11:0:0
Pacific/Pago_Pago|(UTC-11:00) GMT-11:00|GMT-11:00|-11:0:0
America/Adak|(UTC-10:00) GMT-10:00|GMT-10:00|-10:0:0
Pacific/Rarotonga|(UTC-10:00) GMT-10:00|GMT-10:00|-10:0:0
Pacific/Tahiti|(UTC-10:00) GMT-10:00|GMT-10:00|-10:0:0
Pacific/Honolulu|(UTC-10:00) GMT-10:00|GMT-10:00|-10:0:0
Pacific/Marquesas|(UTC-09:30) GMT-09:30|GMT-09:30|-9:-30:0
America/Metlakatla|(UTC-09:00) GMT-09:00|GMT-09:00|-9:0:0
America/Sitka|(UTC-09:00) GMT-09:00|GMT-09:00|-9:0:0
America/Juneau|(UTC-09:00) GMT-09:00|GMT-09:00|-9:0:0
America/Anchorage|(UTC-09:00) GMT-09:00|GMT-09:00|-9:0:0
America/Nome|(UTC-09:00) GMT-09:00|GMT-09:00|-9:0:0
Pacific/Gambier|(UTC-09:00) GMT-09:00|GMT-09:00|-9:0:0
America/Yakutat|(UTC-09:00) GMT-09:00|GMT-09:00|-9:0:0
America/Los_Angeles|(UTC-08:00) GMT-08:00|GMT-08:00|-8:0:0
America/Tijuana|(UTC-08:00) GMT-08:00|GMT-08:00|-8:0:0
America/Dawson|(UTC-08:00) GMT-08:00|GMT-08:00|-8:0:0
America/Whitehorse|(UTC-08:00) GMT-08:00|GMT-08:00|-8:0:0
Pacific/Pitcairn|(UTC-08:00) GMT-08:00|GMT-08:00|-8:0:0
America/Vancouver|(UTC-08:00) GMT-08:00|GMT-08:00|-8:0:0
America/Cambridge_Bay|(UTC-07:00) GMT-07:00|GMT-07:00|-7:0:0
America/Yellowknife|(UTC-07:00) GMT-07:00|GMT-07:00|-7:0:0
America/Inuvik|(UTC-07:00) GMT-07:00|GMT-07:00|-7:0:0
America/Creston|(UTC-07:00) GMT-07:00|GMT-07:00|-7:0:0
America/Dawson_Creek|(UTC-07:00) GMT-07:00|GMT-07:00|-7:0:0
America/Ojinaga|(UTC-07:00) GMT-07:00|GMT-07:00|-7:0:0
America/Boise|(UTC-07:00) GMT-07:00|GMT-07:00|-7:0:0
America/Denver|(UTC-07:00) GMT-07:00|GMT-07:00|-7:0:0
America/Hermosillo|(UTC-07:00) GMT-07:00|GMT-07:00|-7:0:0
America/Chihuahua|(UTC-07:00) GMT-07:00|GMT-07:00|-7:0:0
America/Fort_Nelson|(UTC-07:00) GMT-07:00|GMT-07:00|-7:0:0
America/Edmonton|(UTC-07:00) GMT-07:00|GMT-07:00|-7:0:0
America/Phoenix|(UTC-07:00) GMT-07:00|GMT-07:00|-7:0:0
America/Mazatlan|(UTC-07:00) GMT-07:00|GMT-07:00|-7:0:0
America/Managua|(UTC-06:00) GMT-06:00|GMT-06:00|-6:0:0
